mz,RT,feature,withMS2
300.912045351586,91.65600000001,f517,0
302.066062188897,115.37829999998,f518,1
302.788871758471,842.25815,f519,1
302.867255858376,1417.44059999999,f520,0
304.881880515367,1223.29055000001,f521,1
304.903514521013,81.90320000002,f522,0
304.908908374836,66.29000000002,f523,1
304.914129986781,67.94740000002,f524,1
304.921805687394,97.87300000002,f525,0
305.114496080185,542.51819999998,f526,1
305.909678541066,73.24540000002,f527,0
306.117901520296,542.51819999998,f528,1
306.879822014792,1214.08545,f529,1
306.9064827576,67.94740000002,f530,0
306.920035141348,67.87875,f531,1
306.925678719134,66.86280000002,f532,0
306.937496718263,92.47145,f533,1
306.986939068003,540.87680000002,f534,1
307.99767363265,87.02780000002,f535,0
308.117308869829,687.23309999998,f536,1
308.822682027856,828.37479999999,f537,1
308.877798750527,1222.03730000002,f538,1
308.935842094741,67.30915,f539,0
309.082581758586,184.65900000002,f540,1
309.101425761017,1086.30470000002,f541,1
309.174284407466,1772.58279999998,f542,1
310.819670007756,1215.39349999998,f543,0
310.82065874496,827.1813,f544,0
310.857673972792,66.45040000002,f545,0
310.902004783939,91.82850000002,f546,0
310.931142808943,71.57790000002,f547,0
310.98429182766,439.55474999998,f548,0
311.067384425355,819.46220000002,f549,0
311.080653809912,537.49309999998,f550,0
311.164043700928,1159.88325000001,f551,0
311.168566456417,1162.50340000002,f552,0
311.168844228508,1696.84799999998,f553,0
312.17203948181,1163.16420000002,f554,1
312.79084235308,882.38460000002,f555,1
312.817616808932,1215.16479999998,f556,1
312.957436717124,62.6288,f557,0
312.972843140157,1273.04310000002,f558,1
313.034163591821,67.88265000001,f559,0
313.164480957385,1169.98115,f560,0
313.175359995082,1168.80670000002,f561,0
314.788833017604,880.9637,f562,1
314.815591204547,1215.07174999998,f563,0
314.876741688081,162.20514999999,f564,1
314.932430190995,76.64189999998,f565,1
314.933258041895,66.26369999998,f566,0
316.786875734209,880.43825000001,f567,1
316.872507606266,159.58430000001,f568,1
316.921823024436,66.19819999998,f569,0
316.941311585851,76.59199999998,f570,0
316.943099438723,76.59209999999,f571,0
316.948056116497,76.59019999998,f572,1
316.948876494627,66.45470000001,f573,1
316.952253254397,78.43289999999,f574,1
317.951441643222,76.59199999998,f575,0
318.95231215093,76.59199999998,f576,0
318.97984261247,1435.87809999998,f577,1
320.840398383853,1025.89180000002,f578,1
320.88643762378,67.30915,f579,0
321.049236843985,190.68925000001,f580,1
321.109454170459,537.4289,f581,1
321.169239394131,1238.01239999998,f582,1
321.174189075314,1255.34119999998,f583,1
321.210588192992,1465.97690000002,f584,1
322.177545132597,1257.12799999999,f585,1
322.838343158492,1025.8844,f586,1
322.893135767999,82.72940000001,f587,0
323.106731871714,1702.5448,f588,0
323.841587831546,1076.66599999998,f589,0
324.110077136836,1702.06939999998,f590,0
324.836308410125,1025.8844,f591,0
324.908271144131,66.13269999998,f592,0
324.942577338197,64.50339999998,f593,0
325.103900707183,1703.84254999998,f594,0
325.179284173167,1502.2892,f595,1
325.17933250016,1398.7572,f596,1
325.179316273727,1270.48840000002,f597,1
325.181375064172,1421.60740000002,f598,1
325.184381610717,1506.48220000002,f599,1
325.184277029259,1260.27199999999,f600,1
325.184333434297,1403.1967,f601,1
326.183019672521,1493.8396,f602,0
326.18777632097,1507.32530000002,f603,1
326.187728525013,1402.29299999998,f604,1
326.187695766311,1263.003,f605,1
326.903451449548,73.16109999998,f606,0
326.938268054061,66.04000000002,f607,0
327.062365026549,1066.67790000002,f608,1
327.180238051043,1502.42479999998,f609,1
327.18019426633,1404.10040000002,f610,1
327.180191743986,1260.24110000002,f611,1
327.19103675146,1498.18825000001,f612,0
328.864177055979,1273.38099999998,f613,0
328.916504315366,93.17859999998,f614,0
329.152502660953,1195.47099999998,f615,1
329.152585706713,1123.24459999998,f616,1
330.906438364084,78.47190000002,f617,0
330.920686777718,91.82850000002,f618,1
330.979897838339,1417.29080000002,f619,1
331.061259665325,1023.52765,f620,1
331.131673615118,1273.04310000002,f621,1
331.139838847129,801.02115000002,f622,1
331.983226185603,1405.8197,f623,0
332.876796910406,1172.2584,f624,0
332.91644980055,78.24520000002,f625,0
332.922040251826,78.25160000002,f626,1
332.926494496795,73.24540000002,f627,0
332.938227388387,66.21129999998,f628,0
333.111043418947,671.05919999998,f629,1
333.135554650192,1703.73545000001,f630,1
333.939176956343,71.53870000002,f631,0
334.920145343018,78.24769999998,f632,0
335.108117484551,671.7663,f633,1
335.189907433849,1501.81239999998,f634,1
335.956328619032,79.94810000002,f635,0
336.858699838372,162.1803,f636,1
336.940324247148,74.1532,f637,0
339.033478915372,63.92320000002,f638,1
339.194535542574,1510.93170000002,f639,0
339.19993787955,1377.8585,f640,1
339.200163392593,1604.90510000002,f641,1
339.200082020535,1525.93559999998,f642,1
339.200175576939,1717.36069999999,f643,1
340.203457557,1522.3832,f644,0
340.203512248034,1604.90510000002,f645,0
340.203471039857,1706.66920000002,f646,0
340.946523902501,69.89134999999,f647,1
341.091177628743,542.51819999998,f648,1
341.108964451932,95.01665000001,f649,1
341.195841481171,1512.8627,f650,0
342.112266062843,96.53919999998,f651,0
342.82815825159,1318.1884,f652,1
342.944048120639,70.00829999998,f653,0
342.979879516069,1407.09024999999,f654,0
343.021783449054,537.68129999998,f655,0
343.024102400264,537.49309999998,f656,0
343.026229751257,537.49309999998,f657,0
343.031454267975,537.5136,f658,1
343.035776232623,537.60829999998,f659,0
343.1398130152,670.83554999998,f660,1
344.030565676717,539.2107,f661,1
344.034845738881,537.51185,f662,0
344.143220553282,672.09105,f663,1
344.740349527521,857.50119999998,f664,1
344.807381924269,854.86269999999,f665,1
344.826114027191,1315.06459999998,f666,0
344.859169716818,1417.3132,f667,0
344.979095950785,1284.79419999998,f668,1
345.02725554183,537.5136,f669,1
345.155510004702,846.05475000002,f670,1
346.03062468629,537.49114999998,f671,0
346.738284086946,857.50119999998,f672,1
346.805311115381,854.82229999998,f673,0
346.81404911778,163.47314999999,f674,1
346.824094806789,1314.57964999998,f675,0
346.878664444804,91.82850000002,f676,1
346.917640179906,93.39610000002,f677,0
347.878294435339,91.65605,f678,0
348.736226856985,857.50000000002,f679,0
348.80328483132,854.82229999998,f680,1
348.875638402788,92.12140000001,f681,0
348.895981083779,78.30700000002,f682,0
348.915800169801,73.24540000002,f683,0
348.933079334969,66.13269999998,f684,0
349.044319612046,1066.67790000002,f685,1
