mz,RT,feature,Omni14,Omni8,Omni12,Omni3,Omni2,Omni10,Omni13,Omni7,Omni4,Omni11,Omni9,Omni1,Omni15,Omni6,Omni5
461.159340643163,1502.42479999998,f1279,291632.841019183,371589.725811183,436675.723706632,0,702416.365327559,99877.1282995236,645364.455960561,0,175370.690888766,256605.668812001,0,323703.380408022,52507.5298045402,0,891664.991301322
461.159276780135,1402.8241,f1280,685925.229426126,852070.568260791,985743.354851677,0,1233483.58666129,219135.644226375,1072791.40557956,0,373799.41963572,466297.609592248,0,523122.414118617,147872.035482182,0,1370404.31704423
461.159199860502,1269.2208,f1281,820424.18959719,1162271.8654151,1719134.04575558,0,2484871.12757908,292077.053233534,1409619.68266969,0,586595.455925568,762518.200815308,0,870066.709005132,188605.775140487,0,1672028.37883617
462.764591476201,1451.03229999998,f1282,6592.43054529279,15487.1850069494,0,33584.8779024705,67926.9186566074,11138.0455916002,3234.1962133944,7072.28012701124,4661.85047322512,2341.08693357557,0,0,0,0,10350.3460435867
462.783241930087,1362.77279999998,f1283,0,6278.53008970618,0,0,23252.6292071707,0,0,0,0,0,0,0,0,0,18552.3867544187
462.795461821024,1459.56989999998,f1284,0,17160.8903138041,0,33665.5997968267,68456.9595959,0,18679.3644443095,0,32659.4703512043,15577.3608546853,0,37780.0890719935,0,0,40504.404862568
462.877666968632,1329.69360000002,f1285,5288.08450224064,10467.0123730749,2402.36357276887,35802.7177254062,35751.1200407798,22472.535248413,11589.3941956818,0,18232.0270213261,11671.4422849238,0,16017.3713000655,27138.3160284119,14918.5176501721,23830.9227031275
462.878869384113,73.9632,f1286,125769.921970634,61652.7366888048,115667.108203246,140114.760949188,122626.236582825,54440.5456722677,190575.781661312,55156.5788049866,87093.6874706056,128459.650849349,63875.3408251544,145307.309996841,99540.2793383607,85039.6455889782,94793.2218762338
462.896154676496,66.53650000002,f1287,131148.046091224,88019.9765376365,70116.6353174999,145301.446686607,74931.6843534292,62105.7801990325,162447.023297847,54987.0428230416,69493.3336071021,39807.4485590625,55691.2101396364,72620.4433918481,63899.0826104165,33362.8633529297,92368.929264916
462.979956740362,1566.99569999998,f1288,17113.974154979,20150.2802761602,15315.9081075415,14092.4765310921,14165.7259977465,18579.2516498146,16954.652508926,12928.3661907986,14202.6928918399,15374.0473175161,20422.0962761777,12819.9907019511,18925.4331456866,4350.89867924154,14667.1009955481
463.233734151119,1230.27619999998,f1289,0,0,0,0,0,0,2499.47590206067,0,0,0,0,0,0,0,29542.3996639026
463.294529222917,986.13729999998,f1290,53703.6529509665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
